[Monitor] Acer Nitro XZ320QK 31.5" 4K/165hz/2ms - $299.99 ($284.99 with EDU5 discount)
[Monitor] MSI MAG 271QPX QD-OLED, 2560 x 1440 (QHD), OLED 0.03ms Response time, 360Hz - $579.99
[Monitor] Optix MAG301CR2 30" UWFHD 200Hz Curved $169.99
[gpu] (used-like new) ASROCK PHANTOM GAMING RADEON RX6950XT $399 AMAZON
[Mousepad] SteelSeries QcK XXL Thick (900 x 400mm) - $14.99
[GPU] ASRock Radeon RX 6950 XT Phantom Gaming OC - Like New, sold by Asrock USA & shipped by Amazon - $399.99
[GPU] ASRock AMD Radeon™ RX 6700 XT Challenger D 12GB - Like New, sold by Asrock USA & shipped by Amazon - $239.99 
[HDD] Seagate Expansion 14TB External HDD - $179.99 ($12.86/TB)
[Bundle] MSI MAG X870 Tomahawk AM5 Mobo + Corsair 6000cl28 DDR5 = $347.98 (-$40 MIR, +$50 Uber Eats gift card, +$30 Steam code)
[keyboard] Leobog Hi8SE Gaming Keyboard, Tri-Mode Bluetooth/2.4GHz/USB-C Hot Swappable Aluminum Keyboard, Custom Mechanical Keyboard with Programmable Keys Creamy Sound RGB - $69.56 (clip coupon for 40% off)
